Hprev,Cprev,Deaths,output,replicate
0.0,0.0,0,0,1
0.0,0.0,0,0,2
0.0,0.0,0,0,3
0.0,0.0,0,0,4
0.0,0.0,0,0,5
0.0,0.0,0,0,6
0.0,0.0,0,0,7
0.0,0.0,0,0,8
0.0,0.0,0,0,9
0.0,0.0,0,0,10
0.0,0.0,0,0,11
0.0,0.0,0,0,12
0.0,0.0,0,0,13
0.0,0.0,0,0,14
0.0,0.0,0,0,15
0.0,0.0,0,0,16
0.0,0.0,0,0,17
0.0,0.0,0,0,18
0.0,0.0,0,0,19
0.0,0.0,0,0,20
0,0,0,1,1
0.0,0.0,0,1,2
0.0,0.0,0,1,3
0.0,0.0,0,1,4
0.0,0.0,0,1,5
0.0,0.0,0,1,6
0.0,0.0,0,1,7
0.0,0.0,0,1,8
0.0,0.0,0,1,9
0.0,0.0,0,1,10
0.0,0.0,0,1,11
0.0,0.0,0,1,12
0.0,0.0,0,1,13
0.0,0.0,0,1,14
0.0,0.0,0,1,15
0.0,0.0,0,1,16
0.0,0.0,0,1,17
0.0,0.0,0,1,18
0.0,0.0,0,1,19
0.0,0.0,0,1,20
0.0,0.0,0,2,1
0.0,0.0,0,2,2
0.0,0.0,0,2,3
0.0,0.0,0,2,4
0.0,0.0,0,2,5
0.0,0.0,0,2,6
0.0,0.0,0,2,7
0.0,0.0,0,2,8
0.0,0.0,0,2,9
0.0,0.0,0,2,10
0.0,0.0,0,2,11
0.0,0.0,0,2,12
0.0,0.0,0,2,13
0.0,0.0,0,2,14
0.0,0.0,0,2,15
0.0,0.0,0,2,16
0.0,0.0,0,2,17
0.0,0.0,0,2,18
0.0,0.0,0,2,19
0.0,0.0,0,2,20
0.0,0.0,0,3,1
0.0,0.0,0,3,2
0.0,0.0,0,3,3
0.0,0.0,0,3,4
0.0,0.0,0,3,5
0.0,0.0,0,3,6
0,0,0,3,7
0,0,0,3,8
0.0,0.0,0,3,9
0.0,0.0,0,3,10
0.0,0.0,0,3,11
0.0,0.0,0,3,12
0.0,0.0,0,3,13
0.0,0.0,0,3,14
0.0,0.0,0,3,15
0.0,0.0,0,3,16
0.0,0.0,0,3,17
0.0,0.0,0,3,18
0.0,0.0,0,3,19
0.0,0.0,0,3,20
0.0,0.0,0,4,1
0.0,0.0,0,4,2
0.0,0.0,0,4,3
0.0,0.0,0,4,4
0.0,0.0,0,4,5
0.0,0.0,0,4,6
0.0,0.0,0,4,7
0.0,0.0,0,4,8
0.0,0.0,0,4,9
0.0,0.0,0,4,10
0.0,0.0,0,4,11
0.0,0.0,0,4,12
0.0,0.0,0,4,13
0.0,0.0,0,4,14
0.0,0.0,0,4,15
0.0,0.0,0,4,16
0.0,0.0,0,4,17
0.0,0.0,0,4,18
0.0,0.0,0,4,19
0.0,0.0,0,4,20
0.0,0.0,0,5,1
0.0,0.0,0,5,2
0.0,0.0,0,5,3
0.0,0.0,0,5,4
0.0,0.0,0,5,5
0.0,0.0,0,5,6
0.0,0.0,0,5,7
0.0,0.0,0,5,8
0.0,0.0,0,5,9
0.0,0.0,0,5,10
0.0,0.0,0,5,11
0.0,0.0,0,5,12
0.0,0.0,0,5,13
0,0,0,5,14
0.0,0.0,0,5,15
0.0,0.0,0,5,16
0.0,0.0,0,5,17
0.0,0.0,0,5,18
0.0,0.0,0,5,19
0.0,0.0,0,5,20
0,0,0,6,1
0,0,0,6,2
0,0,0,6,3
0,0,0,6,4
0.0,0.0,0,6,5
0,0,0,6,6
0.0,0.0,0,6,7
0,0,0,6,8
0.0,0.0,0,6,9
0,0,0,6,10
0,0,0,6,11
0,0,0,6,12
0,0,0,6,13
0,0,0,6,14
0,0,0,6,15
0,0,0,6,16
0,0,0,6,17
0,0,0,6,18
0.0,0.0,0,6,19
0,0,0,6,20
0,0,0,7,1
0,0,0,7,2
0,0,0,7,3
0,0,0,7,4
0,0,0,7,5
0,0,0,7,6
0,0,0,7,7
0,0,0,7,8
0,0,0,7,9
0,0,0,7,10
0,0,0,7,11
0,0,0,7,12
0,0,0,7,13
0,0,0,7,14
0,0,0,7,15
0,0,0,7,16
0,0,0,7,17
0.0,0.0,0,7,18
0,0,0,7,19
0,0,0,7,20
0,0,0,8,1
0,0,0,8,2
0,0,0,8,3
0,0,0,8,4
0,0,0,8,5
0,0,0,8,6
0,0,0,8,7
0,0,0,8,8
0,0,0,8,9
0,0,0,8,10
0,0,0,8,11
0,0,0,8,12
0,0,0,8,13
0,0,0,8,14
0,0,0,8,15
0,0,0,8,16
0,0,0,8,17
0,0,0,8,18
0,0,0,8,19
0,0,0,8,20
0,0,0,9,1
0,0,0,9,2
0,0,0,9,3
0,0,0,9,4
0,0,0,9,5
0,0,0,9,6
0,0,0,9,7
0,0,0,9,8
0,0,0,9,9
0,0,0,9,10
0,0,0,9,11
0,0,0,9,12
0,0,0,9,13
0,0,0,9,14
0,0,0,9,15
0,0,0,9,16
0,0,0,9,17
0,0,0,9,18
0,0,0,9,19
0,0,0,9,20
0,0,0,10,1
0,0,0,10,2
0,0,0,10,3
0,0,0,10,4
0,0,0,10,5
0,0,0,10,6
0,0,0,10,7
0,0,0,10,8
0,0,0,10,9
0,0,0,10,10
0,0,0,10,11
0,0,0,10,12
0,0,0,10,13
0,0,0,10,14
0,0,0,10,15
0,0,0,10,16
0,0,0,10,17
0,0,0,10,18
0,0,0,10,19
0,0,0,10,20
13.0,23.5714285714286,938,11,1
16.4285714285714,24.0,889,11,2
7.85714285714286,14.0,953,11,3
9.42857142857143,18.8571428571429,931,11,4
9.0,13.7142857142857,1003,11,5
7.28571428571429,22.0,931,11,6
8.71428571428571,10.8571428571429,959,11,7
10.4285714285714,22.4285714285714,923,11,8
6.28571428571429,30.8571428571429,958,11,9
7.57142857142857,18.5714285714286,969,11,10
16.1428571428571,20.2857142857143,886,11,11
7.71428571428571,14.7142857142857,977,11,12
10.8571428571429,25.5714285714286,930,11,13
34.1428571428571,34.8571428571429,780,11,14
11.8571428571429,31.4285714285714,869,11,15
20.5714285714286,33.5714285714286,933,11,16
18.4285714285714,33.2857142857143,868,11,17
15.5714285714286,31.8571428571429,866,11,18
4.0,8.71428571428571,972,11,19
17.0,26.4285714285714,845,11,20
72.2857142857143,46.0,583,12,1
36.1428571428571,47.8571428571429,671,12,2
23.7142857142857,28.5714285714286,717,12,3
76.1428571428571,39.0,557,12,4
66.1428571428571,46.1428571428572,591,12,5
35.2857142857143,34.4285714285714,623,12,6
15.7142857142857,33.5714285714286,742,12,7
16.0,26.0,628,12,8
